scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	center	submitter_id	pubmed_id	taxid	published_date	NCBI_Link	AWS_Link	GCP_Link	isolate	isolation_source	collection_date	geo_loc_name	replicate	sample_type	biosamplemodel	host	colony	pooled_individual	caste	task	tissue_type	sample_name	bioproject_id	dev_stage	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original
Monomorium pharaonis										no		PRJDB3164	SAMD00026930	DRX028991	DRR032053	DRA003275	DRS021197	DRP002363	Genome and transcriptome of the pharaoh ant (Monomorium pharaonis)	Illumina HiSeq 2000 sequencing of SAMD00026930					single	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	17970516	754761672	531811379			100	0	Application Read	Forward	1	OIST	DRA003275		307658	2015-10-22 10:54:41	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/032/DRR032053/DRR032053.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR032053/DRR032053	gs://sra-pub-zq-103/DRR032053/DRR032053.zq.1													head	PHARAO.11RH_WH	PRJDB3164		2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis										no		PRJDB3164	SAMD00026929	DRX028990	DRR032052	DRA003275	DRS021196	DRP002363	Genome and transcriptome of the pharaoh ant (Monomorium pharaonis)	Illumina HiSeq 2000 sequencing of SAMD00026929					single	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	11810702	496049484	414398542			100	0	Application Read	Forward	1	OIST	DRA003275		307658	2015-10-22 10:54:41	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/032/DRR032052/DRR032052.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR032052/DRR032052	gs://sra-pub-zq-102/DRR032052/DRR032052.zq.1														PHARAO.11QW_L	PRJDB3164	Larva	2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis										no		PRJDB3164	SAMD00026928	DRX028989	DRR032051	DRA003275	DRS021195	DRP002363	Genome and transcriptome of the pharaoh ant (Monomorium pharaonis)	Illumina HiSeq 2000 sequencing of SAMD00026928					single	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	28524227	1198017534	843033242			100	0	Application Read	Forward	1	OIST	DRA003275		307658	2015-10-22 10:54:41	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/032/DRR032051/DRR032051.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR032051/DRR032051	gs://sra-pub-zq-104/DRR032051/DRR032051.noqual.1													head	PHARAO.11QCH_WH	PRJDB3164		2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis										no		PRJDB3164	SAMD00026927	DRX028988	DRR032050	DRA003275	DRS021194	DRP002363	Genome and transcriptome of the pharaoh ant (Monomorium pharaonis)	Illumina HiSeq 2000 sequencing of SAMD00026927					single	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	17536634	736538628	612126736			100	0	Application Read	Forward	1	OIST	DRA003275		307658	2015-10-22 10:54:41	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/032/DRR032050/DRR032050.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR032050/DRR032050	gs://sra-pub-zq-102/DRR032050/DRR032050.noqual.1													gaster	PHARAO.11QCG_WG	PRJDB3164		2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis										no		PRJDB3164	SAMD00026926	DRX028987	DRR032049	DRA003275	DRS021193	DRP002363	Genome and transcriptome of the pharaoh ant (Monomorium pharaonis)	Illumina HiSeq 2000 sequencing of SAMD00026926					single	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	28104191	1180376022	831361376			100	0	Application Read	Forward	1	OIST	DRA003275		307658	2015-10-22 10:54:41	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/032/DRR032049/DRR032049.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR032049/DRR032049	gs://sra-pub-zq-103/DRR032049/DRR032049.zq.1														PHARAO.11PQ_L	PRJDB3164	3Rd-instar Larva	2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis										no		PRJDB3164	SAMD00026925	DRX028986	DRR032048	DRA003275	DRS021192	DRP002363	Genome and transcriptome of the pharaoh ant (Monomorium pharaonis)	Illumina HiSeq 2000 sequencing of SAMD00026925					single	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	19423602	815791284	580722962			100	0	Application Read	Forward	1	OIST	DRA003275		307658	2015-10-22 10:54:41	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/032/DRR032048/DRR032048.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR032048/DRR032048	gs://sra-pub-zq-104/DRR032048/DRR032048.noqual.1														PHARAO.11PL_L	PRJDB3164	3Rd-instar Larva	2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis										no		PRJDB3164	SAMD00026924	DRX028985	DRR032047	DRA003275	DRS021191	DRP002363	Genome and transcriptome of the pharaoh ant (Monomorium pharaonis)	Illumina HiSeq 2000 sequencing of SAMD00026924					single	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	12788104	537100368	445589826			100	0	Application Read	Forward	1	OIST	DRA003275		307658	2015-10-22 10:54:41	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/032/DRR032047/DRR032047.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR032047/DRR032047	gs://sra-pub-zq-102/DRR032047/DRR032047.noqual.1													gaster	PHARAO.11LCG_WG	PRJDB3164		2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis										no		PRJDB3164	SAMD00026923	DRX028984	DRR032046	DRA003275	DRS021190	DRP002363	Genome and transcriptome of the pharaoh ant (Monomorium pharaonis)	Illumina HiSeq 2000 sequencing of SAMD00026923					single	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	17814519	748209798	524640818			100	0	Application Read	Forward	1	OIST	DRA003275		307658	2015-10-22 10:54:41	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/032/DRR032046/DRR032046.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR032046/DRR032046	gs://sra-pub-zq-104/DRR032046/DRR032046.noqual.1													gaster	PHARAO.11FQG_WG	PRJDB3164		2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis										no		PRJDB3164	SAMD00026922	DRX028983	DRR032045	DRA003275	DRS021189	DRP002363	Genome and transcriptome of the pharaoh ant (Monomorium pharaonis)	Illumina HiSeq 2000 sequencing of SAMD00026922					single	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	15770119	662344998	488319802			100	0	Application Read	Forward	1	OIST	DRA003275		307658	2015-10-22 10:54:41	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/032/DRR032045/DRR032045.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR032045/DRR032045	gs://sra-pub-zq-102/DRR032045/DRR032045.zq.1													head	PHARAO.102.QUEENH	PRJDB3164		2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis										no		PRJDB3164	SAMD00026921	DRX028982	DRR032044	DRA003275	DRS021188	DRP002363	Genome and transcriptome of the pharaoh ant (Monomorium pharaonis)	Illumina HiSeq 2000 sequencing of SAMD00026921					single	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	17872362	750639204	537390531			100	0	Application Read	Forward	1	OIST	DRA003275		307658	2015-10-22 10:54:41	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/032/DRR032044/DRR032044.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR032044/DRR032044	gs://sra-pub-zq-102/DRR032044/DRR032044.noqual.1													gaster	PHARAO.102.QUEENG	PRJDB3164		2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
