scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	center	submitter_id	pubmed_id	taxid	published_date	NCBI_Link	AWS_Link	GCP_Link	tissue_normalized	tissue_original
Athalia rosae	whole organism	adult		male				yes	yes	no		PRJNA275665	SAMN03375457	SRX903109	SRR1842142	SRA245709	SRS865589	SRP055887	Athalia rosae RNAseq	RNA sequencing of Athalia rosae whole organism sample AROS.00-male-sw-1228-WT-63	RNA sequencing of Athalia rosae whole organism sample AROS.00-male-sw-1228-WT-63	Sample from Athalia rosae male sw-1228-WT-63		ICD_SFI5MH.sw-1228/WT-63-1_2pA	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	24374007	4923549414	3315065689	417.0		202.0	0.0	Application Read	Forward	1.0	BCM	bcm-sra-AROS.00-male-sw-1228-WT-63_Illumina_20150305		37344	2015-03-05 18:57:14	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/842/SRR1842142/SRR1842142.sralite.1	s3://sra-pub-zq-2/SRR1842142/SRR1842142.sralite.1	gs://sra-pub-zq-104/SRR1842142/SRR1842142.zq.1	adult	adult
Athalia rosae				male				yes	no	no_tissue_label		PRJEB13015	SAMEA3894892	ERX1404801	ERR1333209	ERA587229	ERS1082026	ERP014553	Short read transcriptome sequencing from antennal tissues A. rosae and O. abietinus	Illumina HiSeq 2500 paired end sequencing		Arosae		unspecified	paired	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	Illumina HiSeq 2500	34652811	6930562200	4602968413	350.0								ena-SUBMISSION-MPICE-21-03-2016-10:17:56:648-1		37344	2016-08-01 05:23:33	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/333/ERR1333209.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR1333209/ERR1333209	gs://sra-pub-zq-104/ERR1333209/ERR1333209.zq.1		
Athalia rosae				female				yes	no	no_tissue_label		PRJEB13015	SAMEA3894893	ERX1404802	ERR1333210	ERA587229	ERS1082027	ERP014553	Short read transcriptome sequencing from antennal tissues A. rosae and O. abietinus	Illumina HiSeq 2500 paired end sequencing		Arosae		unspecified	paired	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	Illumina HiSeq 2500	36072988	7214597600	4849281126	350.0								ena-SUBMISSION-MPICE-21-03-2016-10:17:56:648-1		37344	2016-08-01 05:23:33	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/333/ERR1333210.sralite.1	s3://sra-pub-zq-1/ERR1333210/ERR1333210.sralite.1	gs://sra-pub-zq-102/ERR1333210/ERR1333210.zq.1		
Athalia rosae	whole animal	adult		male				yes	yes	no		PRJNA716060	SAMN18393265	SRX10405230	SRR14028636	SRA1208543	SRS8527596	SRP311608	Inter and intra-generational effects of larval starvation in Athalia rosae	RNA seq of Athalia rosae: whole male L4 larvae	Novogene (Cambridge, UK) carried out library preparation (with a Ribo-Zero for rRNA removal) see below for details from report:After the QC procedures, mRNA from eukaryotic organisms is enriched using oligo(dT) beads, rRNA is removed using the Ribo-Zero kit that leaves the mRNA. The mRNA is then fragmented randomly by adding fragmentation buffer. The cDNA is synthesized by using mRNA template and random hexamers primer, after which a custom second-strand synthesis buffer (Illumina) , dNTPs, RNase H and DNA polymerase I are added to initiate the second-strand synthesis. Second, after a series of terminal repair, A ligation and sequencing adaptor ligation, the double-stranded cDNA library is completed through size selection and PCR enrichment. The quality control of library consists of three steps: 1) Qubit 2.0: tests the library concentration preliminarily, 2) Agilent 2100: tests the insert size, 3) Q-PCR: quantifies the library effective concentration precisely. The qualified libraries are fed into Illumina sequencers after pooling according to its effective concentration and expected data volume.			Ar34	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	80331956	12912155624	4273426832								Univesitat Bielefeld	SUB9246258		37344	2022-04-30 00:01:06	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14028/SRR14028636/SRR14028636.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14028636/SRR14028636	gs://sra-pub-zq-104/SRR14028636/SRR14028636.lite.1	adult	adult
Athalia rosae	whole animal	adult		male				yes	yes	no		PRJNA716060	SAMN18393277	SRX10405220	SRR14028646	SRA1208543	SRS8527586	SRP311608	Inter and intra-generational effects of larval starvation in Athalia rosae	RNA seq of Athalia rosae: whole male L4 larvae	Novogene (Cambridge, UK) carried out library preparation (with a Ribo-Zero for rRNA removal) see below for details from report:After the QC procedures, mRNA from eukaryotic organisms is enriched using oligo(dT) beads, rRNA is removed using the Ribo-Zero kit that leaves the mRNA. The mRNA is then fragmented randomly by adding fragmentation buffer. The cDNA is synthesized by using mRNA template and random hexamers primer, after which a custom second-strand synthesis buffer (Illumina) , dNTPs, RNase H and DNA polymerase I are added to initiate the second-strand synthesis. Second, after a series of terminal repair, A ligation and sequencing adaptor ligation, the double-stranded cDNA library is completed through size selection and PCR enrichment. The quality control of library consists of three steps: 1) Qubit 2.0: tests the library concentration preliminarily, 2) Agilent 2100: tests the insert size, 3) Q-PCR: quantifies the library effective concentration precisely. The qualified libraries are fed into Illumina sequencers after pooling according to its effective concentration and expected data volume.			Ar46	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	49598700	14879610000	4676889850								Univesitat Bielefeld	SUB9246258		37344	2022-04-30 00:01:06	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14028/SRR14028646/SRR14028646.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14028646/SRR14028646	gs://sra-pub-zq-104/SRR14028646/SRR14028646.lite.1	adult	adult
Athalia rosae	whole animal	adult		male				yes	yes	no		PRJNA716060	SAMN18393285	SRX10405229	SRR14028637	SRA1208543	SRS8527595	SRP311608	Inter and intra-generational effects of larval starvation in Athalia rosae	RNA seq of Athalia rosae: whole male L4 larvae	Novogene (Cambridge, UK) carried out library preparation (with a Ribo-Zero for rRNA removal) see below for details from report:After the QC procedures, mRNA from eukaryotic organisms is enriched using oligo(dT) beads, rRNA is removed using the Ribo-Zero kit that leaves the mRNA. The mRNA is then fragmented randomly by adding fragmentation buffer. The cDNA is synthesized by using mRNA template and random hexamers primer, after which a custom second-strand synthesis buffer (Illumina) , dNTPs, RNase H and DNA polymerase I are added to initiate the second-strand synthesis. Second, after a series of terminal repair, A ligation and sequencing adaptor ligation, the double-stranded cDNA library is completed through size selection and PCR enrichment. The quality control of library consists of three steps: 1) Qubit 2.0: tests the library concentration preliminarily, 2) Agilent 2100: tests the insert size, 3) Q-PCR: quantifies the library effective concentration precisely. The qualified libraries are fed into Illumina sequencers after pooling according to its effective concentration and expected data volume.			Ar54	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	49881803	14964540900	4703839251								Univesitat Bielefeld	SUB9246258		37344	2022-04-30 00:01:06	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14028/SRR14028637/SRR14028637.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14028637/SRR14028637	gs://sra-pub-zq-104/SRR14028637/SRR14028637.lite.1	adult	adult
Athalia rosae	whole animal	adult		male				yes	yes	no		PRJNA716060	SAMN18393284	SRX10405228	SRR14028638	SRA1208543	SRS8527594	SRP311608	Inter and intra-generational effects of larval starvation in Athalia rosae	RNA seq of Athalia rosae: whole male L4 larvae	Novogene (Cambridge, UK) carried out library preparation (with a Ribo-Zero for rRNA removal) see below for details from report:After the QC procedures, mRNA from eukaryotic organisms is enriched using oligo(dT) beads, rRNA is removed using the Ribo-Zero kit that leaves the mRNA. The mRNA is then fragmented randomly by adding fragmentation buffer. The cDNA is synthesized by using mRNA template and random hexamers primer, after which a custom second-strand synthesis buffer (Illumina) , dNTPs, RNase H and DNA polymerase I are added to initiate the second-strand synthesis. Second, after a series of terminal repair, A ligation and sequencing adaptor ligation, the double-stranded cDNA library is completed through size selection and PCR enrichment. The quality control of library consists of three steps: 1) Qubit 2.0: tests the library concentration preliminarily, 2) Agilent 2100: tests the insert size, 3) Q-PCR: quantifies the library effective concentration precisely. The qualified libraries are fed into Illumina sequencers after pooling according to its effective concentration and expected data volume.			Ar53	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	49891660	14967498000	4648110189								Univesitat Bielefeld	SUB9246258		37344	2022-04-30 00:01:06	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14028/SRR14028638/SRR14028638.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14028638/SRR14028638	gs://sra-pub-zq-104/SRR14028638/SRR14028638.lite.1	adult	adult
Athalia rosae	whole animal	adult		male				yes	yes	no		PRJNA716060	SAMN18393267	SRX10405232	SRR14028634	SRA1208543	SRS8527598	SRP311608	Inter and intra-generational effects of larval starvation in Athalia rosae	RNA seq of Athalia rosae: whole male L4 larvae	Novogene (Cambridge, UK) carried out library preparation (with a Ribo-Zero for rRNA removal) see below for details from report:After the QC procedures, mRNA from eukaryotic organisms is enriched using oligo(dT) beads, rRNA is removed using the Ribo-Zero kit that leaves the mRNA. The mRNA is then fragmented randomly by adding fragmentation buffer. The cDNA is synthesized by using mRNA template and random hexamers primer, after which a custom second-strand synthesis buffer (Illumina) , dNTPs, RNase H and DNA polymerase I are added to initiate the second-strand synthesis. Second, after a series of terminal repair, A ligation and sequencing adaptor ligation, the double-stranded cDNA library is completed through size selection and PCR enrichment. The quality control of library consists of three steps: 1) Qubit 2.0: tests the library concentration preliminarily, 2) Agilent 2100: tests the insert size, 3) Q-PCR: quantifies the library effective concentration precisely. The qualified libraries are fed into Illumina sequencers after pooling according to its effective concentration and expected data volume.			Ar36	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	50756211	15226863300	4759842645								Univesitat Bielefeld	SUB9246258		37344	2022-04-30 00:01:06	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14028/SRR14028634/SRR14028634.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14028634/SRR14028634	gs://sra-pub-zq-104/SRR14028634/SRR14028634.lite.1	adult	adult
Athalia rosae	whole animal	adult		male				yes	yes	no		PRJNA716060	SAMN18393283	SRX10405227	SRR14028639	SRA1208543	SRS8527593	SRP311608	Inter and intra-generational effects of larval starvation in Athalia rosae	RNA seq of Athalia rosae: whole male L4 larvae	Novogene (Cambridge, UK) carried out library preparation (with a Ribo-Zero for rRNA removal) see below for details from report:After the QC procedures, mRNA from eukaryotic organisms is enriched using oligo(dT) beads, rRNA is removed using the Ribo-Zero kit that leaves the mRNA. The mRNA is then fragmented randomly by adding fragmentation buffer. The cDNA is synthesized by using mRNA template and random hexamers primer, after which a custom second-strand synthesis buffer (Illumina) , dNTPs, RNase H and DNA polymerase I are added to initiate the second-strand synthesis. Second, after a series of terminal repair, A ligation and sequencing adaptor ligation, the double-stranded cDNA library is completed through size selection and PCR enrichment. The quality control of library consists of three steps: 1) Qubit 2.0: tests the library concentration preliminarily, 2) Agilent 2100: tests the insert size, 3) Q-PCR: quantifies the library effective concentration precisely. The qualified libraries are fed into Illumina sequencers after pooling according to its effective concentration and expected data volume.			Ar52	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	50916344	15274903200	4779166959								Univesitat Bielefeld	SUB9246258		37344	2022-04-30 00:01:06	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14028/SRR14028639/SRR14028639.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14028639/SRR14028639	gs://sra-pub-zq-104/SRR14028639/SRR14028639.lite.1	adult	adult
Athalia rosae	whole animal	adult		male				yes	yes	no		PRJNA716060	SAMN18393282	SRX10405226	SRR14028640	SRA1208543	SRS8527592	SRP311608	Inter and intra-generational effects of larval starvation in Athalia rosae	RNA seq of Athalia rosae: whole male L4 larvae	Novogene (Cambridge, UK) carried out library preparation (with a Ribo-Zero for rRNA removal) see below for details from report:After the QC procedures, mRNA from eukaryotic organisms is enriched using oligo(dT) beads, rRNA is removed using the Ribo-Zero kit that leaves the mRNA. The mRNA is then fragmented randomly by adding fragmentation buffer. The cDNA is synthesized by using mRNA template and random hexamers primer, after which a custom second-strand synthesis buffer (Illumina) , dNTPs, RNase H and DNA polymerase I are added to initiate the second-strand synthesis. Second, after a series of terminal repair, A ligation and sequencing adaptor ligation, the double-stranded cDNA library is completed through size selection and PCR enrichment. The quality control of library consists of three steps: 1) Qubit 2.0: tests the library concentration preliminarily, 2) Agilent 2100: tests the insert size, 3) Q-PCR: quantifies the library effective concentration precisely. The qualified libraries are fed into Illumina sequencers after pooling according to its effective concentration and expected data volume.			Ar51	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	51204168	15361250400	4823023785								Univesitat Bielefeld	SUB9246258		37344	2022-04-30 00:01:06	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14028/SRR14028640/SRR14028640.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14028640/SRR14028640	gs://sra-pub-zq-104/SRR14028640/SRR14028640.lite.1	adult	adult
