scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	center	submitter_id	pubmed_id	taxid	published_date	NCBI_Link	AWS_Link	GCP_Link	isolate	breed	host	isolation_source	collection_date	geo_loc_name	collected_by	biosamplemodel	condition_treatment	timeofseason_treatment	pair_id	cage	rna_type	dev_stage	description	strain	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original
Megachile rotundata	gonads	Gonads		male						no		PRJNA1019664	SAMN37487965	SRX21846076	SRR26132694	SRA1717190	SRS18943604	SRP462368	Gene evolution across male corbiculate bees	MROT_Male_Gonads_2	Bee samples for comparative genomics	MROT_Male_Gonads_2		MROT_Male_Gonads_2	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina HiSeq 2500	68245567	20473670100	6789129750								Purdue University	SUB13855330		143995	2023-09-21 12:16:56	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR026/26132/SRR26132694/SRR26132694.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR26132694/SRR26132694	gs://sra-pub-zq-109/SRR26132694/SRR26132694.lite.1	MROT_Male_Gonads_2	Not applicable	Not applicable	Not applicable	Unknown	USA	Garett Slater	Invertebrate									2759	33208	6656	50557	7399	124286	132116	143995	Megachile rotundata
Megachile rotundata	gonads	Gonads		male						no		PRJNA1019664	SAMN37487964	SRX21846075	SRR26132695	SRA1717190	SRS18943603	SRP462368	Gene evolution across male corbiculate bees	MROT_Male_Gonads_1	Bee samples for comparative genomics	MROT_Male_Gonads_1		MROT_Male_Gonads_1	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina HiSeq 2500	64893477	19468043100	6426930889								Purdue University	SUB13855330		143995	2023-09-21 12:16:56	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR026/26132/SRR26132695/SRR26132695.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR26132695/SRR26132695	gs://sra-pub-zq-109/SRR26132695/SRR26132695.lite.1	MROT_Male_Gonads_1	Not applicable	Not applicable	Not applicable	Unknown	USA	Garett Slater	Invertebrate									2759	33208	6656	50557	7399	124286	132116	143995	Megachile rotundata
Megachile rotundata	oocyte	oocyte			0hr					no		PRJNA887543	SAMN31171401	SRX17809528	SRR21820246	SRA1514743	SRS15333659	SRP401230	Maternal body condition and season influence RNA deposition in the oocytes of alfalfa leafcutting bees (Megachile rotundata)	RNA-seq of megachile rotundata: mRNA from oocyte	RNAseq prepared with Illumina TruSeq  Stranded mRNAseq Sample Prep kit	miRNA-seq of megachile rotundata: miRNA from oocyte		20156	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina NovaSeq 6000	21749979	4305523499	1365979587								Utah State University	SUB12120908		143995	2022-10-06 02:27:49	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21820/SRR21820246/SRR21820246.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR21820246/SRR21820246	gs://sra-pub-zq-108/SRR21820246/SRR21820246.lite.1	not applicable	not applicable	not applicable	not applicable	2020-06-26	USA: Logan, UT		Invertebrate	poor_condition	early	J	10	mRNA				2759	33208	6656	50557	7399	124286	132116	143995	Megachile rotundata
Megachile rotundata	oocyte	oocyte			0hr					no		PRJNA887543	SAMN31171400	SRX17809527	SRR21820247	SRA1514743	SRS15333658	SRP401230	Maternal body condition and season influence RNA deposition in the oocytes of alfalfa leafcutting bees (Megachile rotundata)	RNA-seq of megachile rotundata: mRNA from oocyte	RNAseq prepared with Illumina TruSeq  Stranded mRNAseq Sample Prep kit	miRNA-seq of megachile rotundata: miRNA from oocyte		20152	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina NovaSeq 6000	24342088	4818238034	1522567206								Utah State University	SUB12120908		143995	2022-10-06 02:32:56	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21820/SRR21820247/SRR21820247.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR21820247/SRR21820247	gs://sra-pub-zq-108/SRR21820247/SRR21820247.lite.1	not applicable	not applicable	not applicable	not applicable	2020-06-26	USA: Logan, UT		Invertebrate	control	early	F	10	mRNA				2759	33208	6656	50557	7399	124286	132116	143995	Megachile rotundata
Megachile rotundata	oocyte	oocyte			0hr					no		PRJNA887543	SAMN31171399	SRX17809526	SRR21820248	SRA1514743	SRS15333657	SRP401230	Maternal body condition and season influence RNA deposition in the oocytes of alfalfa leafcutting bees (Megachile rotundata)	RNA-seq of megachile rotundata: mRNA from oocyte	RNAseq prepared with Illumina TruSeq  Stranded mRNAseq Sample Prep kit	miRNA-seq of megachile rotundata: miRNA from oocyte		20151	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina NovaSeq 6000	19686575	3896366005	1244269861								Utah State University	SUB12120908		143995	2022-10-06 02:32:56	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21820/SRR21820248/SRR21820248.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR21820248/SRR21820248	gs://sra-pub-zq-108/SRR21820248/SRR21820248.lite.1	not applicable	not applicable	not applicable	not applicable	2020-06-26	USA: Logan, UT		Invertebrate	control	early	E	10	mRNA				2759	33208	6656	50557	7399	124286	132116	143995	Megachile rotundata
Megachile rotundata	oocyte	oocyte			0hr					no		PRJNA887543	SAMN31171398	SRX17809525	SRR21820249	SRA1514743	SRS15333656	SRP401230	Maternal body condition and season influence RNA deposition in the oocytes of alfalfa leafcutting bees (Megachile rotundata)	RNA-seq of megachile rotundata: mRNA from oocyte	RNAseq prepared with Illumina TruSeq  Stranded mRNAseq Sample Prep kit	miRNA-seq of megachile rotundata: miRNA from oocyte		20144	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina NovaSeq 6000	22179212	4388039275	1403488989								Utah State University	SUB12120908		143995	2022-10-06 02:28:32	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21820/SRR21820249/SRR21820249.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR21820249/SRR21820249	gs://sra-pub-zq-108/SRR21820249/SRR21820249.lite.1	not applicable	not applicable	not applicable	not applicable	2020-06-27	USA: Logan, UT		Invertebrate	poor_condition	early	G	9	mRNA				2759	33208	6656	50557	7399	124286	132116	143995	Megachile rotundata
Megachile rotundata	oocyte	oocyte			0hr					no		PRJNA887543	SAMN31171397	SRX17809524	SRR21820250	SRA1514743	SRS15333655	SRP401230	Maternal body condition and season influence RNA deposition in the oocytes of alfalfa leafcutting bees (Megachile rotundata)	RNA-seq of megachile rotundata: mRNA from oocyte	RNAseq prepared with Illumina TruSeq  Stranded mRNAseq Sample Prep kit	miRNA-seq of megachile rotundata: miRNA from oocyte		20143	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina NovaSeq 6000	19388991	3842965707	1225512222								Utah State University	SUB12120908		143995	2022-10-06 02:27:49	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21820/SRR21820250/SRR21820250.lite.1	s3://sra-pub-zq-1/SRR21820250/SRR21820250.lite.1	gs://sra-pub-zq-108/SRR21820250/SRR21820250.lite.1	not applicable	not applicable	not applicable	not applicable	2020-06-27	USA: Logan, UT		Invertebrate	poor_condition	early	I	9	mRNA				2759	33208	6656	50557	7399	124286	132116	143995	Megachile rotundata
Megachile rotundata	egg	egg			24hr					no		PRJNA887543	SAMN31171435	SRX17809523	SRR21820251	SRA1514743	SRS15333654	SRP401230	Maternal body condition and season influence RNA deposition in the oocytes of alfalfa leafcutting bees (Megachile rotundata)	RNA-seq of megachile rotundata: mRNA from egg	RNAseq prepared with Illumina TruSeq  Stranded mRNAseq Sample Prep kit	miRNA-seq of megachile rotundata: miRNA from egg		202230	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina NovaSeq 6000	19676247	3902778357	1236059104								Utah State University	SUB12120908		143995	2022-10-06 02:31:27	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21820/SRR21820251/SRR21820251.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR21820251/SRR21820251	gs://sra-pub-zq-108/SRR21820251/SRR21820251.lite.1	not applicable	not applicable	not applicable	not applicable	2020-07-13	USA: Logan, UT		Invertebrate	poor_condition	late	R	9	mRNA				2759	33208	6656	50557	7399	124286	132116	143995	Megachile rotundata
Megachile rotundata	egg	egg			24hr					no		PRJNA887543	SAMN31171434	SRX17809522	SRR21820252	SRA1514743	SRS15333653	SRP401230	Maternal body condition and season influence RNA deposition in the oocytes of alfalfa leafcutting bees (Megachile rotundata)	RNA-seq of megachile rotundata: mRNA from egg	RNAseq prepared with Illumina TruSeq  Stranded mRNAseq Sample Prep kit	miRNA-seq of megachile rotundata: miRNA from egg		202229	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina NovaSeq 6000	19037207	3770523773	1203217402								Utah State University	SUB12120908		143995	2022-10-06 02:32:56	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21820/SRR21820252/SRR21820252.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR21820252/SRR21820252	gs://sra-pub-zq-108/SRR21820252/SRR21820252.lite.1	not applicable	not applicable	not applicable	not applicable	2020-07-12	USA: Logan, UT		Invertebrate	poor_condition	late	S	9	mRNA				2759	33208	6656	50557	7399	124286	132116	143995	Megachile rotundata
Megachile rotundata	egg	egg			24hr					no		PRJNA887543	SAMN31171433	SRX17809521	SRR21820253	SRA1514743	SRS15333652	SRP401230	Maternal body condition and season influence RNA deposition in the oocytes of alfalfa leafcutting bees (Megachile rotundata)	RNA-seq of megachile rotundata: mRNA from egg	RNAseq prepared with Illumina TruSeq  Stranded mRNAseq Sample Prep kit	miRNA-seq of megachile rotundata: miRNA from egg		202228	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina NovaSeq 6000	16825714	3336146034	1066390684								Utah State University	SUB12120908		143995	2022-10-06 02:27:49	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21820/SRR21820253/SRR21820253.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR21820253/SRR21820253	gs://sra-pub-zq-108/SRR21820253/SRR21820253.lite.1	not applicable	not applicable	not applicable	not applicable	2020-07-12	USA: Logan, UT		Invertebrate	control	late	M	9	mRNA				2759	33208	6656	50557	7399	124286	132116	143995	Megachile rotundata
Megachile rotundata	egg	egg			24hr					no		PRJNA887543	SAMN31171432	SRX17809520	SRR21820254	SRA1514743	SRS15333651	SRP401230	Maternal body condition and season influence RNA deposition in the oocytes of alfalfa leafcutting bees (Megachile rotundata)	RNA-seq of megachile rotundata: mRNA from egg	RNAseq prepared with Illumina TruSeq  Stranded mRNAseq Sample Prep kit	miRNA-seq of megachile rotundata: miRNA from egg		202226	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina NovaSeq 6000	22238892	4404005019	1386674031								Utah State University	SUB12120908		143995	2022-10-06 02:32:56	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21820/SRR21820254/SRR21820254.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR21820254/SRR21820254	gs://sra-pub-zq-108/SRR21820254/SRR21820254.lite.1	not applicable	not applicable	not applicable	not applicable	2020-07-16	USA: Logan, UT		Invertebrate	poor_condition	late	Q	9	mRNA				2759	33208	6656	50557	7399	124286	132116	143995	Megachile rotundata
Megachile rotundata	oocyte	oocyte			0hr					no		PRJNA887543	SAMN31171396	SRX17809519	SRR21820255	SRA1514743	SRS15333650	SRP401230	Maternal body condition and season influence RNA deposition in the oocytes of alfalfa leafcutting bees (Megachile rotundata)	RNA-seq of megachile rotundata: mRNA from oocyte	RNAseq prepared with Illumina TruSeq  Stranded mRNAseq Sample Prep kit	miRNA-seq of megachile rotundata: miRNA from oocyte		20139	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina NovaSeq 6000	24096367	4773588827	1493521404								Utah State University	SUB12120908		143995	2022-10-06 02:32:56	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21820/SRR21820255/SRR21820255.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR21820255/SRR21820255	gs://sra-pub-zq-108/SRR21820255/SRR21820255.lite.1	not applicable	not applicable	not applicable	not applicable	2020-06-26	USA: Logan, UT		Invertebrate	poor_condition	early	H	9	mRNA				2759	33208	6656	50557	7399	124286	132116	143995	Megachile rotundata
Megachile rotundata	egg	egg			24hr					no		PRJNA887543	SAMN31171431	SRX17809518	SRR21820256	SRA1514743	SRS15333649	SRP401230	Maternal body condition and season influence RNA deposition in the oocytes of alfalfa leafcutting bees (Megachile rotundata)	RNA-seq of megachile rotundata: mRNA from egg	RNAseq prepared with Illumina TruSeq  Stranded mRNAseq Sample Prep kit	miRNA-seq of megachile rotundata: miRNA from egg		202224	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina NovaSeq 6000	24103082	4761474994	1538474204								Utah State University	SUB12120908		143995	2022-10-06 02:32:56	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21820/SRR21820256/SRR21820256.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR21820256/SRR21820256	gs://sra-pub-zq-108/SRR21820256/SRR21820256.lite.1	not applicable	not applicable	not applicable	not applicable	2020-07-12	USA: Logan, UT		Invertebrate	control	late	L	9	mRNA				2759	33208	6656	50557	7399	124286	132116	143995	Megachile rotundata
Megachile rotundata	egg	egg			24hr					no		PRJNA887543	SAMN31171430	SRX17809517	SRR21820257	SRA1514743	SRS15333648	SRP401230	Maternal body condition and season influence RNA deposition in the oocytes of alfalfa leafcutting bees (Megachile rotundata)	RNA-seq of megachile rotundata: mRNA from egg	RNAseq prepared with Illumina TruSeq  Stranded mRNAseq Sample Prep kit	miRNA-seq of megachile rotundata: miRNA from egg		202220	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina NovaSeq 6000	18703183	3709013272	1178767060								Utah State University	SUB12120908		143995	2022-10-06 02:28:32	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21820/SRR21820257/SRR21820257.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR21820257/SRR21820257	gs://sra-pub-zq-108/SRR21820257/SRR21820257.lite.1	not applicable	not applicable	not applicable	not applicable	2020-07-13	USA: Logan, UT		Invertebrate	poor_condition	late	U	10	mRNA				2759	33208	6656	50557	7399	124286	132116	143995	Megachile rotundata
Megachile rotundata	egg	egg			24hr					no		PRJNA887543	SAMN31171429	SRX17809516	SRR21820258	SRA1514743	SRS15333647	SRP401230	Maternal body condition and season influence RNA deposition in the oocytes of alfalfa leafcutting bees (Megachile rotundata)	RNA-seq of megachile rotundata: mRNA from egg	RNAseq prepared with Illumina TruSeq  Stranded mRNAseq Sample Prep kit	miRNA-seq of megachile rotundata: miRNA from egg		202218	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina NovaSeq 6000	18666747	3701477222	1179158738								Utah State University	SUB12120908		143995	2022-10-06 02:31:27	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21820/SRR21820258/SRR21820258.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR21820258/SRR21820258	gs://sra-pub-zq-108/SRR21820258/SRR21820258.lite.1	not applicable	not applicable	not applicable	not applicable	2020-07-17	USA: Logan, UT		Invertebrate	poor_condition	late	T	10	mRNA				2759	33208	6656	50557	7399	124286	132116	143995	Megachile rotundata
Megachile rotundata	egg	egg			24hr					no		PRJNA887543	SAMN31171428	SRX17809515	SRR21820259	SRA1514743	SRS15333646	SRP401230	Maternal body condition and season influence RNA deposition in the oocytes of alfalfa leafcutting bees (Megachile rotundata)	RNA-seq of megachile rotundata: mRNA from egg	RNAseq prepared with Illumina TruSeq  Stranded mRNAseq Sample Prep kit	miRNA-seq of megachile rotundata: miRNA from egg		202217	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina NovaSeq 6000	17435079	3458170282	1087004470								Utah State University	SUB12120908		143995	2022-10-06 02:27:49	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21820/SRR21820259/SRR21820259.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR21820259/SRR21820259	gs://sra-pub-zq-108/SRR21820259/SRR21820259.lite.1	not applicable	not applicable	not applicable	not applicable	2020-07-16	USA: Logan, UT		Invertebrate	poor_condition	late	V	10	mRNA				2759	33208	6656	50557	7399	124286	132116	143995	Megachile rotundata
