target_id	tau	highest	order
lcl|NW_011626826.1_mrna_XM_011070041.1_2774	0.434053935069499	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070042.1_2776	0.25613674320171	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070043.1_2775	0.657634626159647	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070044.1_2778	0.0168885082728196	heads	heads|brain
lcl|NW_011626826.1_mrna_XM_011070045.1_2777	0.692395414889496	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070046.1_2779	0.708005254281172	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070047.1_2782	0.907689846769828	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070048.1_2781	0.25190499662354	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070049.1_2780	0.384439267950623	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070050.1_2785	0.994781611075727	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070051.1_2784	0.232140587468084	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070053.1_2786	0.434415913999071	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070054.1_2788	0.878792082759621	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070055.1_2787	0.695595852834552	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070056.1_2789	0.555709112512046	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070058.1_2791	0.921760159678747	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070059.1_2790	0.611964359469376	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070060.1_2792	0.386790189504932	heads	heads|brain
lcl|NW_011626826.1_mrna_XM_011070061.1_2793	0.737283824417344	heads	heads|brain
lcl|NW_011626826.1_mrna_XM_011070062.1_2794	0.17939371552373	heads	heads|brain
lcl|NW_011626826.1_mrna_XM_011070063.1_2795	0.354836562981426	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070064.1_2798	0.452485181010463	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070066.1_2797	0.155392218427932	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070067.1_2796	0.00633390730880534	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070068.1_2799	0.28158143206519	heads	heads|brain
lcl|NW_011626826.1_mrna_XM_011070069.1_2801	0.91363989519481	heads	heads|brain
lcl|NW_011626826.1_mrna_XM_011070070.1_2803	0.950770176915492	heads	heads|brain
lcl|NW_011626826.1_mrna_XM_011070071.1_2800	0.357217233411698	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070072.1_2802	0.25558933577806	heads	heads|brain
lcl|NW_011626826.1_mrna_XM_011070073.1_2808	0.61638136900085	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070074.1_2805	0.880189826162905	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070075.1_2806	0.957671964166794	heads	heads|brain
