target_id	tau	highest	order
lcl|NC_091874.1_mrna_XM_070663739.1_13431	0.568933283287694	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663740.1_13432	0.591644932848974	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663741.1_13427	0.371221242120558	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663742.1_12851	0.0150226904227053	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663743.1_12853	0.247188090794275	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663744.1_12852	0.551513417108048	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663745.1_13478	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663746.1_13477	0.156878331560004	whole body sample	whole body sample|whole body
lcl|NC_091874.1_ncrna_XR_011546338.1_13314	0.601305265488816	whole body sample	whole body sample|whole body
lcl|NC_091874.1_ncrna_XR_011546339.1_13315	1	whole body	whole body
lcl|NC_091874.1_ncrna_XR_011546340.1_13313	0.826035382157075	whole body	whole body|whole body sample
lcl|NC_091874.1_ncrna_XR_011546341.1_13317	0.851398845939668	whole body	whole body|whole body sample
lcl|NC_091874.1_ncrna_XR_011546342.1_13528	0.846932066890833	whole body sample	whole body sample|whole body
lcl|NC_091874.1_ncrna_XR_011546343.1_13526	1	whole body	whole body
lcl|NC_091874.1_ncrna_XR_011546344.1_13527	1	whole body	whole body
lcl|NC_091874.1_ncrna_XR_011546346.1_13076	0.136486873696019	whole body sample	whole body sample|whole body
lcl|NC_091874.1_ncrna_XR_011546347.1_13075	1	whole body	whole body
lcl|NC_091874.1_ncrna_XR_011546348.1_13065	0.939075628253702	whole body	whole body|whole body sample
lcl|NC_091874.1_ncrna_XR_011546349.1_13493	0.615958702668379	whole body sample	whole body sample|whole body
lcl|NC_091874.1_ncrna_XR_011546350.1_13316	0.229726964726427	whole body	whole body|whole body sample
lcl|NC_091874.1_ncrna_XR_011546351.1_13483	0.29155492486678	whole body	whole body|whole body sample
lcl|NC_091874.1_ncrna_XR_011546352.1_13311	0.929748991433066	whole body	whole body|whole body sample
lcl|NC_091874.1_ncrna_XR_011546353.1_13312	0.31055363435636	whole body	whole body|whole body sample
lcl|NC_091874.1_ncrna_XR_011546354.1_13302	0.195397410116384	whole body sample	whole body sample|whole body
lcl|NC_091874.1_ncrna_XR_011546355.1_13303	1	whole body	whole body
lcl|NC_091874.1_ncrna_XR_011546356.1_13287	0.788876169468618	whole body sample	whole body sample|whole body
lcl|NC_091874.1_ncrna_XR_011546357.1_13288	0.880694759003201	whole body sample	whole body sample|whole body
lcl|NC_091874.1_ncrna_XR_011546358.1_13305	0.214709263529443	whole body sample	whole body sample|whole body
lcl|NC_091874.1_ncrna_XR_011546359.1_13304	0.317769478219235	whole body sample	whole body sample|whole body
lcl|NC_091874.1_ncrna_XR_011546362.1_13139	0.298713539895528	whole body	whole body|whole body sample
lcl|NC_091874.1_ncrna_XR_011546363.1_13140	1	whole body	whole body
lcl|NC_091874.1_ncrna_XR_011546364.1_13116	0.216887614917617	whole body	whole body|whole body sample
lcl|NC_091874.1_ncrna_XR_011546365.1_13135	0.267333674477485	whole body sample	whole body sample|whole body
lcl|NC_091874.1_ncrna_XR_011546367.1_13033	0.133080338160441	whole body sample	whole body sample|whole body
