GeneID	tau	highest	order
QIUM02000111.1	0.978304277212599	larvae	larvae|spermetheca|semen|ovaries|ventriculus|malpighian tubules|whole adult body|hindgut|head|hypopharyngeal glands|antennae|venom gland|germline|queen thorax|pylori|oocyte|abdomen|egg|testis|antennal lobes|thoracic muscle|pupae|wings and thoracic dorsum|thorax|mandibular glands|rectum|unknown|hemolymph|flight muscle and thoracic exoskeleton|midgut|antennal lobes and subaesophageal ganglion (al) region of the brain|embryo|mushroom body|brain|thorax and abdomen|eviscerated abdomen with attached fat bodies and inactive ovaries|optic lobes|fat body
QIUM02000114.1	0.973832630795756	larvae	larvae|spermetheca|semen|whole adult body|queen thorax|hindgut|ventriculus|germline|ovaries|egg|thorax|embryo|thorax and abdomen|antennae|abdominal integument|fat body|head|wings and thoracic dorsum|brain|mandibular glands|mushroom body|abdomen|unknown
QIUM02000137.1	0.985497797158118	larvae	larvae|spermetheca|semen|hindgut|eviscerated abdomen and fat body|egg|antennae|ventriculus|head|malpighian tubules|queen thorax|ovaries|pupae|mushroom body|antennal lobes and subaesophageal ganglion (al) region of the brain|testis|male gonad|abdomen|optic lobes|thorax|whole adult body|abdominal integument|pylori|venom gland|hypopharyngeal glands|rectum|royal jelly|thorax and abdomen|mandibular glands|antennal lobes|embryo|unknown|hemolymph|midgut|fat body|eviscerated abdomen with attached fat bodies and inactive ovaries|brain|flight muscle and thoracic exoskeleton|nasonov gland|gut
QIUM02000144.1	0.822405165216667	egg	egg|testis|larvae|2nd thoracic ganglia|mushroom body|pupae|spermetheca|antennal lobes|brain|fat body|pylori|oocyte|eviscerated abdomen with attached fat bodies and ovaries|semen|antennae|rectum|midgut|gut|optic lobes|antennal lobes and subaesophageal ganglion (al) region of the brain|malpighian tubules|hindgut|abdomen|ovaries|thorax|nasonov gland|hemolymph|ventriculus|head|royal jelly|unknown|eviscerated abdomen and fat body|venom gland|thoracic muscle|mandibular glands|abdominal integument|head,chest|whole adult body|eviscerated abdomen with attached fat bodies and inactive ovaries|flight muscle and thoracic exoskeleton|germline|wing disc|male gonad|embryo|wings and thoracic dorsum|queen thorax|head and thorax|thorax and abdomen|whole adult body with viral enrichment
QIUM02000149.1	0.986914060557511	larvae	larvae|spermetheca|semen|2nd thoracic ganglia|pupae|malpighian tubules|unknown|brain|head|antennae|thoracic muscle|hindgut|ventriculus|whole adult body|ovaries|optic lobes|mushroom body|thorax and abdomen|nasonov gland|antennal lobes|royal jelly|antennal lobes and subaesophageal ganglion (al) region of the brain|eviscerated abdomen with attached fat bodies and ovaries|embryo|abdomen|hemolymph|mandibular glands|flight muscle and thoracic exoskeleton|eviscerated abdomen with attached fat bodies and inactive ovaries|pylori|eviscerated abdomen and fat body|fat body|gut|midgut|venom gland|testis|egg|wings and thoracic dorsum|head,chest|rectum|thorax|whole adult body with viral enrichment
QIUM02000151.1	0.954602980056428	larvae	larvae|spermetheca|semen|unknown|2nd thoracic ganglia|egg|mushroom body|hindgut|brain|antennae|abdomen|pupae|head|thoracic muscle|antennal lobes|antennal lobes and subaesophageal ganglion (al) region of the brain|midgut|oocyte|optic lobes|ventriculus|whole adult body|eviscerated abdomen with attached fat bodies and ovaries|eviscerated abdomen and fat body|germline|testis|ovaries|queen thorax|nasonov gland|malpighian tubules|mandibular glands|pylori|eviscerated abdomen with attached fat bodies and inactive ovaries|flight muscle and thoracic exoskeleton|venom gland|royal jelly|rectum|wing disc|thorax|embryo|thorax and abdomen|abdominal integument|gut|fat body|hemolymph|wings and thoracic dorsum
QIUM02000159.1	0.983634690929379	larvae	larvae|spermetheca|semen|whole adult body|thorax|hindgut|ventriculus|antennae|oocyte|head|ovaries|germline|egg|abdomen|fat body|unknown|brain|embryo|mushroom body
QIUM02000160.1	0.975282369775259	larvae	larvae|spermetheca|pupae|semen|2nd thoracic ganglia|male gonad|egg|hindgut|malpighian tubules|mushroom body|testis|ventriculus|germline|nasonov gland|antennal lobes|brain|ovaries|unknown|head|fat body|antennal lobes and subaesophageal ganglion (al) region of the brain|venom gland|whole adult body|pylori|thoracic muscle|antennae|abdomen|eviscerated abdomen and fat body|queen thorax|midgut|rectum|wings and thoracic dorsum|eviscerated abdomen with attached fat bodies and ovaries|mandibular glands|gut|embryo|thorax|optic lobes|hemolymph|flight muscle and thoracic exoskeleton|oocyte|whole adult body with viral enrichment|thorax and abdomen|head and thorax
QIUM02000181.1	0.978924578319288	spermetheca	spermetheca|semen|larvae|hindgut|egg|malpighian tubules|wing disc|whole adult body|ovaries|antennae|optic lobes|embryo|brain|mushroom body|thorax
QIUM02000184.1	0.968286211616521	spermetheca	spermetheca|larvae|semen|hindgut|malpighian tubules|ventriculus|queen thorax|antennae|head|thorax and abdomen|whole adult body|midgut|ovaries|antennal lobes|unknown|pupae|embryo|flight muscle and thoracic exoskeleton|abdomen|pylori|venom gland|fat body|optic lobes|brain|mushroom body|mandibular glands|hemolymph|thoracic muscle|egg
QIUM02000208.1	0.990641842809312	antennae	antennae|ovaries|hindgut|thorax and abdomen|larvae|oocyte|wing disc|queen thorax|spermetheca|midgut|semen|wings and thoracic dorsum|egg|thorax|embryo|germline|fat body|abdomen|flight muscle and thoracic exoskeleton|eviscerated abdomen with attached fat bodies and inactive ovaries|eviscerated abdomen and fat body|mushroom body|eviscerated abdomen with attached fat bodies and ovaries|nasonov gland|testis|whole adult body with viral enrichment|whole adult body|abdominal integument|head,chest|pylori|head|2nd thoracic ganglia|venom gland|antennal lobes and subaesophageal ganglion (al) region of the brain|male gonad|malpighian tubules|head and thorax|ventriculus|gut|hypopharyngeal glands|unknown|thoracic muscle|royal jelly|brain|optic lobes|antennal lobes|rectum|pupae|hemolymph|mandibular glands
QIUM02000219.1	0.972160341728353	spermetheca	spermetheca|semen|eviscerated abdomen with attached fat bodies and inactive ovaries|head|abdominal integument|eviscerated abdomen with attached fat bodies and ovaries|wing disc|antennae|oocyte|midgut|flight muscle and thoracic exoskeleton|testis|whole adult body with viral enrichment|wings and thoracic dorsum|nasonov gland|abdomen|venom gland|head and thorax|2nd thoracic ganglia|head,chest|malpighian tubules|embryo|unknown|whole adult body|hindgut|fat body|antennal lobes and subaesophageal ganglion (al) region of the brain|ventriculus|ovaries|royal jelly|male gonad|gut|pylori|queen thorax|thoracic muscle|optic lobes|germline|mushroom body|pupae|brain|rectum|egg|antennal lobes|thorax|hypopharyngeal glands|larvae|thorax and abdomen|eviscerated abdomen and fat body|hemolymph|mandibular glands
CM009940.2	0.825857609816131	oocyte	oocyte|malpighian tubules|ventriculus|male gonad|testis|ovaries|abdominal integument|head|germline|nasonov gland|embryo|2nd thoracic ganglia|pylori|hemolymph|queen thorax|mushroom body|egg|mandibular glands|unknown|midgut|thoracic muscle|wings and thoracic dorsum|eviscerated abdomen with attached fat bodies and ovaries|head,chest|fat body|antennal lobes|gut|brain|eviscerated abdomen and fat body|royal jelly|pupae|flight muscle and thoracic exoskeleton|thorax and abdomen|antennae|rectum|whole adult body with viral enrichment|hindgut|larvae|thorax|antennal lobes and subaesophageal ganglion (al) region of the brain|venom gland|head and thorax|hypopharyngeal glands|wing disc|optic lobes|abdomen|eviscerated abdomen with attached fat bodies and inactive ovaries|semen|whole adult body|spermetheca
QIUM02000074.1	0.846911069068637	larvae	larvae|antennae|head|pupae|semen|hindgut|2nd thoracic ganglia|antennal lobes|spermetheca|pylori|ovaries|mushroom body|brain|unknown|antennal lobes and subaesophageal ganglion (al) region of the brain|optic lobes|eviscerated abdomen and fat body|testis|queen thorax|malpighian tubules|mandibular glands|male gonad|gut|egg|thoracic muscle|thorax and abdomen|embryo|flight muscle and thoracic exoskeleton|abdomen|germline|hypopharyngeal glands|ventriculus|eviscerated abdomen with attached fat bodies and ovaries|royal jelly|head,chest|wing disc|whole adult body|midgut|venom gland|thorax|eviscerated abdomen with attached fat bodies and inactive ovaries|rectum|wings and thoracic dorsum|oocyte|abdominal integument|head and thorax|whole adult body with viral enrichment|hemolymph|fat body|nasonov gland
QIUM02000078.1	0.786123165311234	malpighian tubules	malpighian tubules|testis|hemolymph|abdominal integument|pylori|ventriculus|eviscerated abdomen and fat body|wings and thoracic dorsum|nasonov gland|male gonad|unknown|queen thorax|mandibular glands|wing disc|thoracic muscle|oocyte|pupae|royal jelly|head|egg|larvae|hypopharyngeal glands|mushroom body|2nd thoracic ganglia|midgut|venom gland|ovaries|brain|antennal lobes|fat body|gut|thorax|rectum|whole adult body with viral enrichment|head,chest|thorax and abdomen|eviscerated abdomen with attached fat bodies and ovaries|germline|flight muscle and thoracic exoskeleton|head and thorax|hindgut|antennae|antennal lobes and subaesophageal ganglion (al) region of the brain|abdomen|optic lobes|eviscerated abdomen with attached fat bodies and inactive ovaries|spermetheca|whole adult body|semen|embryo
QIUM02000091.1	0.955912042908315	ovaries	ovaries|oocyte|malpighian tubules|germline|spermetheca|queen thorax|semen|hindgut|eviscerated abdomen with attached fat bodies and ovaries|2nd thoracic ganglia|male gonad|egg|testis|midgut|larvae|ventriculus|pupae|mushroom body|rectum|antennae|flight muscle and thoracic exoskeleton|head|unknown|antennal lobes|venom gland|thoracic muscle|eviscerated abdomen and fat body|brain|abdomen|gut|antennal lobes and subaesophageal ganglion (al) region of the brain|royal jelly|pylori|thorax|nasonov gland|head,chest|thorax and abdomen|fat body|eviscerated abdomen with attached fat bodies and inactive ovaries|mandibular glands|hemolymph|whole adult body|optic lobes|whole adult body with viral enrichment|hypopharyngeal glands|wings and thoracic dorsum|head and thorax|abdominal integument|embryo|wing disc
QIUM02000110.1	0.986841352750045	hindgut	hindgut|spermetheca|semen|pupae|antennae|ovaries|larvae|egg|thorax and abdomen|queen thorax|whole adult body|wing disc|mushroom body|abdomen|thorax|midgut|antennal lobes|embryo|head|nasonov gland|brain|fat body|mandibular glands|pylori|optic lobes
QIUM02000125.1	0.959420977585064	spermetheca	spermetheca|ovaries|malpighian tubules|semen|germline|testis|queen thorax|male gonad|ventriculus|larvae|whole adult body|head|hindgut|unknown|abdomen|venom gland|eviscerated abdomen with attached fat bodies and ovaries|brain|fat body|mushroom body|mandibular glands|thorax and abdomen|antennae|antennal lobes and subaesophageal ganglion (al) region of the brain|gut
QIUM02000127.1	0.942306037958752	ovaries	ovaries|spermetheca|queen thorax|larvae|germline|semen|malpighian tubules|hindgut|ventriculus|whole adult body|thorax and abdomen|egg|head|antennae|eviscerated abdomen with attached fat bodies and ovaries|male gonad|2nd thoracic ganglia|testis|embryo|hypopharyngeal glands|antennal lobes|pupae|venom gland|mandibular glands|thorax|wings and thoracic dorsum|abdomen|head and thorax|whole adult body with viral enrichment|antennal lobes and subaesophageal ganglion (al) region of the brain|gut|rectum|wing disc|mushroom body|fat body|unknown|flight muscle and thoracic exoskeleton|eviscerated abdomen with attached fat bodies and inactive ovaries|brain|eviscerated abdomen and fat body|hemolymph|optic lobes|midgut
QIUM02000140.1	0.978553454217949	spermetheca	spermetheca|semen|ovaries|larvae|hindgut|germline|queen thorax|ventriculus|whole adult body|thorax and abdomen|malpighian tubules|egg|antennae|rectum|head|2nd thoracic ganglia|oocyte|unknown|testis|abdomen|thorax|eviscerated abdomen and fat body|midgut|pupae|gut|flight muscle and thoracic exoskeleton|eviscerated abdomen with attached fat bodies and ovaries|eviscerated abdomen with attached fat bodies and inactive ovaries|embryo|mandibular glands|brain|antennal lobes|mushroom body|nasonov gland|fat body|hemolymph|wing disc|venom gland|wings and thoracic dorsum
CM009941.2	0.912222028366786	hypopharyngeal glands	hypopharyngeal glands|head|malpighian tubules|ventriculus|oocyte|testis|male gonad|ovaries|mandibular glands|hemolymph|nasonov gland|2nd thoracic ganglia|abdominal integument|germline|pylori|mushroom body|queen thorax|wings and thoracic dorsum|midgut|unknown|antennal lobes|fat body|brain|egg|gut|head,chest|eviscerated abdomen with attached fat bodies and ovaries|thoracic muscle|antennae|royal jelly|thorax and abdomen|eviscerated abdomen and fat body|pupae|larvae|rectum|flight muscle and thoracic exoskeleton|venom gland|antennal lobes and subaesophageal ganglion (al) region of the brain|wing disc|hindgut|whole adult body with viral enrichment|head and thorax|optic lobes|eviscerated abdomen with attached fat bodies and inactive ovaries|abdomen|thorax|semen|spermetheca|whole adult body|embryo
QIUM02000096.1	0.99456415769887	ventriculus	ventriculus|malpighian tubules|gut|spermetheca|larvae|thorax and abdomen|midgut|semen|hindgut|whole adult body|abdomen|unknown|testis|queen thorax|antennae|egg|hemolymph|male gonad|thorax|head and thorax|nasonov gland|ovaries|pupae|whole adult body with viral enrichment|royal jelly|germline|pylori|oocyte|head|mandibular glands|antennal lobes|mushroom body|rectum|embryo|brain|abdominal integument|optic lobes
QIUM02000117.1	0.820926316828823	mushroom body	mushroom body|malpighian tubules|unknown|2nd thoracic ganglia|pupae|brain|ovaries|antennal lobes|pylori|fat body|mandibular glands|testis|hemolymph|queen thorax|midgut|venom gland|gut|ventriculus|egg|germline|larvae|optic lobes|head|nasonov gland|antennal lobes and subaesophageal ganglion (al) region of the brain|thorax|hindgut|wings and thoracic dorsum|rectum|abdominal integument|spermetheca|thoracic muscle|hypopharyngeal glands|antennae|head,chest|thorax and abdomen|eviscerated abdomen and fat body|semen|oocyte|abdomen|royal jelly|flight muscle and thoracic exoskeleton|eviscerated abdomen with attached fat bodies and ovaries|eviscerated abdomen with attached fat bodies and inactive ovaries|wing disc|whole adult body|male gonad|whole adult body with viral enrichment|head and thorax|embryo
QIUM02000156.1	0.989369259203171	semen	semen|spermetheca|larvae|ovaries|hindgut|queen thorax|antennae|germline|hemolymph|thorax and abdomen|embryo|malpighian tubules|testis|male gonad|wing disc|eviscerated abdomen with attached fat bodies and ovaries|egg|head|ventriculus|head and thorax|oocyte|eviscerated abdomen with attached fat bodies and inactive ovaries|rectum|flight muscle and thoracic exoskeleton|eviscerated abdomen and fat body|hypopharyngeal glands|fat body|pupae|abdomen|nasonov gland|wings and thoracic dorsum|abdominal integument|pylori|whole adult body|optic lobes|unknown|gut|mandibular glands|mushroom body|venom gland|brain|thorax|midgut|antennal lobes and subaesophageal ganglion (al) region of the brain
